,proportion,category
1,0.0169491525423729,Observed
2,0.00925925925925926,Observed
3,0.0378787878787879,Observed
4,0.019047619047619,Observed
5,0.0454545454545455,Observed
6,0.00925925925925926,Observed
7,0.0416666666666667,Observed
8,0.0258620689655172,Observed
9,0.03,Observed
10,0.0306122448979592,Observed
11,0.0388349514563107,Observed
12,0.0630630630630631,Observed
13,0.0288461538461538,Observed
14,0.0392156862745098,Observed
15,0.0272727272727273,Observed
16,0.00892857142857143,Observed
17,0.0103092783505155,Observed
18,0.0265486725663717,Observed
19,0.0625,Observed
20,0.0172413793103448,Observed
21,0.0495049504950495,Observed
22,0.0272727272727273,Observed
23,0.0294117647058824,Observed
24,0.0384615384615385,Observed
25,0.0181818181818182,Observed
26,0.0285714285714286,Observed
27,0.0252100840336134,Observed
28,0.0388349514563107,Observed
29,0.027027027027027,Observed
30,0.0206185567010309,Observed
31,0.0256410256410256,Observed
32,0.0236220472440945,Observed
33,0.021505376344086,Observed
34,0.036697247706422,Observed
35,0.0283018867924528,Observed
36,0.0285714285714286,Observed
37,0.0357142857142857,Observed
38,0.0363636363636364,Observed
39,0.0336134453781513,Observed
40,0.029126213592233,Observed
41,0.0404040404040404,Observed
42,0.0319148936170213,Observed
43,0.0258620689655172,Observed
44,0.0192307692307692,Observed
45,0.0481927710843374,Observed
46,0.0283018867924528,Observed
47,0.0272727272727273,Observed
48,0.0347826086956522,Observed
49,0.0153846153846154,Observed
50,0.0196078431372549,Observed
51,0.0283018867924528,Observed
52,0.0420168067226891,Observed
53,0.0258620689655172,Observed
54,0.0176991150442478,Observed
55,0.036697247706422,Observed
56,0.0520833333333333,Observed
57,0.0555555555555556,Observed
58,0.019047619047619,Observed
59,0.018018018018018,Observed
60,0.03,Observed
61,0.010989010989011,Observed
62,0.03125,Observed
63,0.0275229357798165,Observed
64,0.0392156862745098,Observed
65,0.0285714285714286,Observed
66,0.040650406504065,Observed
67,0.0260869565217391,Observed
68,0.018018018018018,Observed
69,0.0161290322580645,Observed
70,0.018018018018018,Observed
71,0.0185185185185185,Observed
72,0.0517241379310345,Observed
73,0.018018018018018,Observed
74,0.0196078431372549,Observed
75,0.0309278350515464,Observed
76,0.0194174757281553,Observed
77,0.0555555555555556,Observed
78,0.0196078431372549,Observed
79,0.0357142857142857,Observed
80,0.029126213592233,Observed
81,0.0103092783505155,Observed
82,0.0326086956521739,Observed
83,0.0106382978723404,Observed
84,0.0288461538461538,Observed
85,0.0192307692307692,Observed
86,0.00806451612903226,Observed
87,0.0285714285714286,Observed
88,0.0275229357798165,Observed
89,0.00862068965517241,Observed
90,0.045045045045045,Observed
91,0.0198019801980198,Observed
92,0.0307692307692308,Observed
93,0.0208333333333333,Observed
94,0.0198019801980198,Observed
95,0.0176991150442478,Observed
96,0.036697247706422,Observed
97,0.0333333333333333,Observed
98,0.0260869565217391,Observed
99,0.00813008130081301,Observed
100,0.0280373831775701,Observed
101,0.0964409024937392,Null
102,0.0968078236969814,Null
103,0.096241308942849,Null
104,0.0971249332557383,Null
105,0.0966636865808847,Null
106,0.0972034215598421,Null
107,0.0968352352501057,Null
108,0.0965339269547858,Null
109,0.0976757260287437,Null
110,0.0971630945988268,Null
111,0.0969510962146661,Null
112,0.097160324732046,Null
113,0.096766274836401,Null
114,0.0976493088947002,Null
115,0.0967186774338376,Null
116,0.0960385967972511,Null
117,0.0967761028903266,Null
118,0.0967629919324085,Null
119,0.0969158619505399,Null
120,0.0956682415818041,Null
121,0.09629716433441,Null
122,0.0965780286200899,Null
123,0.097296738731647,Null
124,0.097240832175828,Null
125,0.0961526800921177,Null
126,0.096308917412447,Null
127,0.096155406919494,Null
128,0.0970814883471302,Null
129,0.0961311723922052,Null
130,0.0978088525481089,Null
131,0.0960191212099963,Null
132,0.0963808694152617,Null
133,0.097590234217668,Null
134,0.0963528136449121,Null
135,0.0971850237070893,Null
136,0.0965330294513065,Null
137,0.0961833212301684,Null
138,0.0965600683186631,Null
139,0.0962789453532869,Null
140,0.0963752451367537,Null
141,0.0967798274703787,Null
142,0.0969597777916698,Null
143,0.0970604544248103,Null
144,0.0965281058466199,Null
145,0.0978101154018304,Null
146,0.0973942433783301,Null
147,0.0972218975152553,Null
148,0.096204559343647,Null
149,0.0965210071361273,Null
150,0.0966124704749186,Null
151,0.0964056105075738,Null
152,0.0959236149916267,Null
153,0.095875828029344,Null
154,0.0967715744584988,Null
155,0.0968070564860392,Null
156,0.0967490287407958,Null
157,0.0965722821350961,Null
