i,asc1,desc1,tranSAF,tranRo,p
1,49.344335215381,24.5422984329255,2.18869294482977,2.8406916979727,-123.22234647931
2,28.7842372316927,17.3631626284529,4.64563615219775,8.68021009052947,-110.567196864644
3,14.6987703251671,19.5627651403384,4.84660179536283,5.77464193824841,-110.3738137726
4,31.0999669730109,22.7083207533123,2.94582676271671,3.07626595967909,-110.384506444708
5,26.7036472468395,17.559532013659,3.25947628579131,5.21593550023949,-108.731379644933
6,11.8841454096212,17.2515591826683,2.00269184435952,1.70404314163977,-110.776192923254
7,28.5396087833719,23.3179721098963,2.9084250025963,2.10228508991133,-110.088553566638
8,22.2495165861844,16.386277671682,3.19706540520333,5.36970830172482,-107.751470887339
9,27.3850853574622,19.7187363181152,3.27658886670224,7.29828514016106,-109.524857620434
10,23.7547536150646,17.9607263903011,5.11291858308503,7.2312474647032,-108.800971952466
11,19.7534137507756,12.272714247756,3.8300746331284,2.67513108977024,-108.646072791415
12,22.0219550260384,19.2396425542672,3.64213510689964,9.41842022328833,-109.498939378965
13,23.5905131583556,17.4821729253312,7.57182871751039,8.67982043795595,-110.190242599419
14,22.1046422725169,17.6535827113703,8.10223545682852,5.29434861760721,-110.317276984209
15,19.4760063776335,17.3872863673785,6.34299657479563,7.50281259233244,-109.290114681377
16,24.0453070107732,15.4022046239944,6.37504869467078,4.57640358548655,-109.453228205754
17,18.1028998905177,16.6034815219617,4.63120990193801,3.1092518428061,-108.579075923203
18,19.1041355115339,20.8703983409385,4.67599862856654,3.51528463084572,-109.272252192887
19,18.3314257179388,21.740103762029,5.17042205100565,4.36588597019557,-110.023235903524
20,28.6649632817776,18.7820772155281,3.93013166095078,3.89849544336381,-109.510244920645
21,25.7020307130547,15.2801136792641,2.552998719994,4.71573917189887,-108.73877458989
22,25.6572581495967,21.3112799701185,3.12451579948906,3.87562687368381,-108.512138773387
23,24.5595922090394,26.7261471038219,3.04464909375929,5.02535763656769,-110.431714324613
24,29.9162393942254,21.2012218497002,3.40370999050098,4.88085587852186,-109.801528267915
25,14.5713020173926,10.7175524488885,3.20115970133688,3.68819584181961,-109.174696786254
26,15.1945287273036,12.4326159781902,2.7016787130708,4.3762567402433,-108.374928670386
27,22.9934565778726,20.8874361166133,4.54186110400736,4.95324262309546,-108.66077876601
28,23.9021964029122,18.1553336591384,5.13735975719133,4.82442988136179,-108.591957924933
29,17.3752159571206,14.0326579501954,2.78411694090625,7.08898296192707,-108.484688727177
30,19.9705830829534,16.2667069807792,3.18816383651462,7.34261791975133,-108.261599381598
31,19.4673931775626,11.5142239619354,4.29812432073423,4.02486506559494,-108.473792755978
32,18.8092686270981,13.045034175111,1.70239442039249,3.75552440355655,-108.120309213664
33,19.2246160778456,17.6186247109492,5.78676192376625,7.99627204356949,-109.217197678064
34,16.194879352443,17.9941835235787,1.96534747325997,7.44409649089443,-109.690491733036
35,24.954143903552,17.5834811394175,2.07754252553703,8.61773860015216,-110.226155017862
36,19.9038534020122,12.9018276538564,2.11494510537638,6.10445223547994,-108.568032964352
37,18.2905855651229,25.0858600090212,5.93196204910637,5.7069028229558,-112.704456146729
38,30.6458979151216,31.4386583166414,5.50805350013242,6.55690490409016,-114.049513916554
39,34.1929421452049,11.7740859313154,3.77893607347178,5.67361752450221,-116.374165916882
40,31.4908128704072,20.7307752501043,2.74144192712225,5.70839253250319,-110.756066304551
41,16.4328632268687,9.15548060570188,1.54183534795534,6.19463293743743,-110.747010095127
42,12.7611903970415,16.9792088904092,3.35583598160158,4.24669208137099,-109.468998289207
43,18.9773487769935,17.2217165666952,3.16711558894783,2.85553922763933,-107.848268289095
44,16.6873736022881,17.1881265913517,1.50284630293081,3.52850695260333,-108.246005808865
45,16.3792349882844,15.4014196705102,0.355496392672086,1.81971701222688,-111.011935715464
46,22.9494968092992,16.0923356316158,0.825124236530087,3.46698878877732,-109.418556443745
47,20.1981020106062,11.5909257116099,1.95894518634139,3.87342845808008,-108.430771589659
48,11.5693367017689,15.207515893334,3.21132317537425,5.61862227128713,-109.925553877743
49,18.5933851922676,13.597909833387,2.98983992991587,2.32183569150144,-108.266502875358
50,17.9147434456503,19.8026367765753,5.17195927462968,11.7174288718177,-111.567899130066
51,21.9927270219447,19.770431507306,6.01257594292205,8.90695633678077,-109.905182426783
52,21.364318665544,20.4148494896031,4.26638235205005,7.22975457740277,-108.943710267064
53,25.0703333313955,17.5904404099038,2.7107073800267,7.80144745477531,-109.279964372571
54,23.6355615320056,17.688687003952,6.58770531790096,8.72773660050825,-109.743953796626
55,20.4461410354416,13.8151144343061,4.53825222054783,3.24591625020593,-108.432607957363
56,18.1178469581214,11.731316908764,4.94437356747733,9.6404961306546,-109.64601304511
57,17.9159101368577,17.8440739079588,7.64054757830198,6.59657432458788,-110.344049108605
58,24.0792469773015,22.0559907361514,3.38645133773187,3.53012402088271,-108.594603346132
59,21.6446361797236,22.2213681933371,4.14213485952221,6.62373559130491,-109.326387553636
60,24.2028661150127,22.8909223054068,3.79531210181159,5.8739969603006,-109.154118456031
61,23.8563779549902,21.0034276708183,2.46132939138903,2.66860514235212,-108.363827890771
62,18.7329714177683,17.5947303904436,2.44335422634982,2.07712854152124,-108.18665790715
63,18.5930497125217,17.5765663224082,2.4065480284626,2.01828493786679,-108.243517305994
64,21.9322264648839,13.9682305815042,3.35749906341744,5.15975111270347,-107.893352761858
65,25.0194552329152,19.6589248939533,4.24392977886991,6.86666489655454,-108.836419853926
66,15.5619438309304,13.2001653581025,2.15675538735574,4.48629327313805,-108.284960347873
67,24.3698377187495,13.9402705713521,4.3766248090811,5.19682944282176,-108.676571041002
68,14.1425620774959,10.5017206482171,5.88726832686321,6.89314451402756,-110.352017170989
69,22.8871317544834,16.6113836608028,5.70112149878623,9.75511347278212,-109.583124067905
70,17.162524040472,8.11690943254698,2.76410102019212,7.18299385773664,-110.514533371284
71,16.5801575784733,19.0982974185518,4.43343334999995,8.86621413043125,-110.156522629254
72,21.6732353229689,18.3467234661918,1.61210390628681,4.16277211752009,-108.10757849449
73,20.924477678287,15.6543347547366,1.03496404161306,4.38086686241532,-108.978493719451
74,23.797176886866,17.8005919549609,3.87808130805162,2.60986122110818,-108.590827590359
75,17.7598461994176,10.747310554415,2.33887245348507,4.19629753136938,-108.503396503499
76,16.006162203967,13.0048676471814,4.50962489188056,8.71250647276111,-109.310489385175
77,9.37834995209896,14.9414680367131,2.12848417798463,5.90629974698121,-111.939724077179
78,13.6812418534595,15.6010280456497,2.795538609612,7.33205359542464,-109.502595598694
79,17.4056845459956,11.1303088651693,2.58904362852133,2.04745675812386,-109.081001976952
80,20.3817761085845,13.8141024840832,2.37034722282532,4.65431829411368,-107.79655418552
81,18.1978633930371,14.8663690844653,1.8822424112533,3.29828072695614,-107.754496779035
82,19.8558833634174,18.4228896586592,3.038272719091,3.45103974169912,-107.708787658492
83,25.0288422500509,17.7418867256277,1.71588997872759,3.95763654192435,-108.528008904865
84,18.1661402243327,17.6794652394619,1.3042947149763,5.72799286486978,-109.194219422636
85,23.3741885724586,20.8907395957474,2.14608170693045,1.93905360277996,-108.736039226044
86,19.1753127697223,20.1295237137666,2.01937971457749,3.53699856137531,-108.160316024267
87,23.3069278615194,20.8600458156713,2.36348973791118,1.18708422987643,-109.73475117725
88,22.2896298852828,13.276852606378,3.61239142983512,9.25626469709889,-109.426047960213
89,17.3976532532583,12.5247414994999,5.89304098641525,18.2183711104117,-113.859090667503
90,24.1989855182656,13.6945262609425,10.3318240962224,14.1134580789714,-113.095385888417
91,18.8101927272332,14.5809107041287,7.87176559697722,4.66923332556695,-110.202677060553
92,20.3966843434751,15.8886140970449,7.70445233160207,8.4711269553568,-109.961554639405
93,25.5111926302489,14.5900631607085,7.1854780719918,5.28105163577463,-110.345336563491
94,14.2495557881567,16.5073420502462,2.51900976059227,5.76713651801137,-108.86604557164
95,19.8741850578917,14.3947590270387,1.17645167214636,4.58146728386832,-108.834535023739
96,21.3893050827522,16.956701886497,3.31402239789528,5.63665082710365,-107.744526532517
97,21.718034659655,16.6381707031393,5.30473087760779,2.83553448493785,-109.151018288404
98,15.5000431815075,16.5761389697189,3.60904401999199,4.61578970628177,-108.25525523524
99,20.4649647681903,17.8053078817294,3.60725405628793,6.74607912649422,-108.139574535048
100,25.0501182241197,14.4220954813211,2.71325232950312,3.29786571826261,-108.673479975384
101,21.4203013299708,15.6325659656125,2.61178061715272,3.39337776083881,-107.576606924682
102,21.5424351385455,15.5142480382624,1.6244412850116,5.81864070879091,-108.735374468435
103,14.0151133603049,16.8692590078234,3.73497719082853,6.74397223833606,-109.406636876261
104,23.6901408669691,19.9856687313356,4.34583161197354,8.71033569815811,-109.407044913899
105,22.9607553077815,14.9248181457647,4.62187273461999,4.05997975883731,-108.351345809391
106,21.3460966860544,13.7382726943275,2.73065151605641,4.71544604218531,-107.821699488687
107,14.3658960774599,14.8627750257122,3.91307015496786,10.4179189339092,-110.461196620671
108,19.1502985526504,16.975032528292,10.6705084277606,14.5946240773609,-114.026051099159
109,25.0483933071343,12.9979388302406,13.9857394647491,11.5476327970294,-114.595793718274
110,14.6065849501451,13.8371013775541,9.67689839398006,5.87572102853136,-112.140104300834
111,22.1709642097252,20.0704464946211,5.52468849395835,2.53235575953422,-110.016351530134
112,22.2368833562928,23.1722102497014,5.23322362780978,4.5979415124116,-109.881539737745
113,25.4375846223512,22.2832398811334,5.14962654297382,4.53067708863033,-109.519157530432
114,20.9643229268754,21.7175384110303,5.93037089540599,6.826042134391,-110.075112837884
115,29.4690344459938,23.8147683348345,5.95930811029031,6.46098058218014,-111.109111767036
116,26.4613214155428,12.6875327650513,3.42874887235942,10.6790706434318,-111.778641250238
117,24.6404167666725,14.7298898513789,4.96598639209518,9.57866941257768,-109.767082873362
118,23.3722798515301,15.6528657360096,6.81658844882555,11.1788698690133,-110.481522536414
119,22.4688882180841,17.5799300524741,6.6522263536908,3.42205763458623,-109.926114626761
120,22.5454022670982,17.6204016996291,2.52588007115276,3.23299039236783,-107.690827996862
121,24.4221171773138,19.1218587095313,2.33772751089116,3.31531237000604,-108.055816260365
122,14.75926206081,11.9582071427142,2.91453349210833,4.36185913413334,-108.600914379059
123,22.0478299020427,15.8993420497486,2.02316250012198,3.0493012167958,-107.790494177234
124,16.3639588878781,14.2829357332942,5.96099383079219,3.61559642583587,-109.519306269811
125,17.7481448388112,14.0512574326942,1.0545880425203,4.15376668858481,-108.95440089184
126,21.5565019492419,18.3358220901451,1.10552297753787,2.21166387279399,-108.687725271643
127,20.1936913194035,15.0595791024875,4.80758913882846,7.06742856591524,-108.306254904423
128,16.2936733973965,13.4135467870161,5.82774877260136,3.36342827970741,-109.659274824093
129,23.1720102821776,14.9198914724771,3.75972895412166,5.0593610515837,-108.018930315138
130,15.9574688326052,14.3998334776344,1.84876427924715,4.78644992043785,-108.308975621002
131,16.3710891054894,14.3024697215869,1.8765263174286,3.16618385092711,-108.028511843064
132,18.9572246435668,16.0354607479595,3.2465637694955,8.67260748220634,-108.865557909012
133,17.9434576922835,16.5120340569159,3.81359541149321,1.84143487806563,-109.171766597777
134,25.5720684193846,17.9325873063318,2.85847367993757,3.26761690849864,-108.319848751245
135,22.8895000987468,20.7060701599269,2.11755317468803,5.9478059571174,-108.782269385207
